Matter,T1,B0,ADC,FA,L1,L2,L3,RA,RD,TR,VR
1,214.79280,437.000,3.6896000E-03,1.3561000E-01,3.6896000E-03,3.1176000E-03,2.8284000E-03,1.1141000E-01,2.9730000E-03,9.6356000E-03,9.8190000E-01
1,326.49570,278.000,3.5573000E-03,2.8010000E-01,3.5573000E-03,2.5230000E-03,2.0331000E-03,2.3492000E-01,2.2780000E-03,8.1134000E-03,9.2247000E-01
1,205.53860,445.000,3.5085000E-03,1.6904000E-01,3.5085000E-03,2.7448000E-03,2.5633000E-03,1.3935000E-01,2.6541000E-03,8.8166000E-03,9.7251000E-01
1,71.13280,675.000,3.6865000E-03,1.1836000E-01,3.6865000E-03,3.1258000E-03,2.9447000E-03,9.7094000E-02,3.0352000E-03,9.7570000E-03,9.8635000E-01
1,119.89380,518.000,3.5344000E-03,1.1210000E-01,3.5344000E-03,3.2005000E-03,2.8180000E-03,9.1917000E-02,3.0092000E-03,9.5529000E-03,9.8726000E-01
1,91.68400,860.000,3.5510000E-03,1.4967000E-01,3.5510000E-03,3.0132000E-03,2.6310000E-03,1.2312000E-01,2.8221000E-03,9.1953000E-03,9.7764000E-01
1,64.52440,928.000,3.5811000E-03,1.0563000E-01,3.5811000E-03,3.2156000E-03,2.8965000E-03,8.6571000E-02,3.0560000E-03,9.6932000E-03,9.8881000E-01
1,74.69130,786.000,3.6660000E-03,7.3344000E-02,3.6660000E-03,3.3370000E-03,3.1770000E-03,5.9992000E-02,3.2570000E-03,1.0180000E-02,9.9469000E-01
1,68.88760,906.000,3.4163000E-03,8.1320000E-02,3.4163000E-03,3.2929000E-03,2.9145000E-03,6.6545000E-02,3.1037000E-03,9.6237000E-03,9.9320000E-01
1,72.76220,892.000,3.3158000E-03,1.7691000E-01,3.3158000E-03,2.5664000E-03,2.3868000E-03,1.4598000E-01,2.4766000E-03,8.2689000E-03,9.6991000E-01
1,76.37270,863.000,3.5184000E-03,9.7993000E-02,3.5184000E-03,3.1687000E-03,2.8920000E-03,8.0269000E-02,3.0304000E-03,9.5791000E-03,9.9041000E-01
